MatVec;1.24277;
MatVecOMP;1.23732;
MatVecRMA;1.25689;
MatVecRMAOMP;1.24596;
MatVecMasteSlave;4.73485;
MatVecMasteSlaveOMP;4.82738;
MatVecMasterSlaveRMA;2.75924;
MatVecMasterSlaveRMAOMP;2.60923;
MatVec;1.24276;
MatVecOMP;1.22836;
MatVecRMA;1.24253;
MatVecRMAOMP;1.2459;
MatVecMasteSlave;4.50537;
MatVecMasteSlaveOMP;4.48473;
MatVecMasterSlaveRMA;2.63013;
MatVecMasterSlaveRMAOMP;2.52436;
MatVec;1.24404;
MatVecOMP;1.24434;
MatVecRMA;1.24233;
MatVecRMAOMP;1.2439;
MatVecMasteSlave;4.92389;
MatVecMasteSlaveOMP;4.07432;
MatVecMasterSlaveRMA;2.56574;
MatVecMasterSlaveRMAOMP;2.62386;
MatVec;1.24321;
MatVecOMP;1.45665;
MatVecRMA;1.24062;
MatVecRMAOMP;1.24437;
MatVecMasteSlave;4.77081;
MatVecMasteSlaveOMP;3.93471;
MatVecMasterSlaveRMA;2.61998;
MatVecMasterSlaveRMAOMP;2.60543;
MatVec;1.24171;
MatVecOMP;1.24521;
MatVecRMA;1.24521;
MatVecRMAOMP;1.2463;
MatVecMasteSlave;5.02766;
MatVecMasteSlaveOMP;4.20849;
MatVecMasterSlaveRMA;2.72023;
MatVecMasterSlaveRMAOMP;2.67453;
MatVec;1.24332;
MatVecOMP;1.23616;
MatVecRMA;1.24301;
MatVecRMAOMP;1.24559;
MatVecMasteSlave;4.44415;
MatVecMasteSlaveOMP;4.73997;
MatVecMasterSlaveRMA;3.05975;
MatVecMasterSlaveRMAOMP;2.57966;
MatVec;1.25122;
MatVecOMP;1.24523;
MatVecRMA;1.24169;
MatVecRMAOMP;1.24639;
MatVecMasteSlave;4.87049;
MatVecMasteSlaveOMP;4.21753;
MatVecMasterSlaveRMA;3.06511;
MatVecMasterSlaveRMAOMP;2.61888;
MatVec;1.2423;
MatVecOMP;1.2458;
MatVecRMA;1.2452;
MatVecRMAOMP;1.25047;
MatVecMasteSlave;4.69501;
MatVecMasteSlaveOMP;4.34128;
MatVecMasterSlaveRMA;2.71411;
MatVecMasterSlaveRMAOMP;2.44393;
MatVec;1.24583;
MatVecOMP;1.24783;
MatVecRMA;1.24483;
MatVecRMAOMP;1.2486;
MatVecMasteSlave;4.52702;
MatVecMasteSlaveOMP;4.66485;
MatVecMasterSlaveRMA;2.78671;
MatVecMasterSlaveRMAOMP;2.96581;
MatVec;1.24115;
MatVecOMP;1.24252;
MatVecRMA;1.24421;
MatVecRMAOMP;1.23089;
MatVecMasteSlave;4.9756;
MatVecMasteSlaveOMP;4.59121;
MatVecMasterSlaveRMA;2.87005;
MatVecMasterSlaveRMAOMP;2.58131;
