MatVec;0.631584;
MatVecOMP;0.614738;
MatVecRMA;0.622392;
MatVecRMAOMP;0.61181;
MatVecMasteSlave;2.107;
MatVecMasteSlaveOMP;2.24095;
MatVecMasterSlaveRMA;1.60015;
MatVecMasterSlaveRMAOMP;1.67743;
MatVec;0.615166;
MatVecOMP;0.613762;
MatVecRMA;0.611624;
MatVecRMAOMP;0.610639;
MatVecMasteSlave;2.216;
MatVecMasteSlaveOMP;2.15327;
MatVecMasterSlaveRMA;1.65549;
MatVecMasterSlaveRMAOMP;1.76074;
MatVec;0.604471;
MatVecOMP;0.604174;
MatVecRMA;0.624345;
MatVecRMAOMP;0.610413;
MatVecMasteSlave;2.28323;
MatVecMasteSlaveOMP;2.13974;
MatVecMasterSlaveRMA;1.71205;
MatVecMasterSlaveRMAOMP;1.76165;
MatVec;0.605419;
MatVecOMP;0.609468;
MatVecRMA;0.609305;
MatVecRMAOMP;0.603088;
MatVecMasteSlave;2.25885;
MatVecMasteSlaveOMP;2.62493;
MatVecMasterSlaveRMA;1.60176;
MatVecMasterSlaveRMAOMP;1.66464;
MatVec;0.609058;
MatVecOMP;0.606085;
MatVecRMA;0.610477;
MatVecRMAOMP;0.61272;
MatVecMasteSlave;2.05774;
MatVecMasteSlaveOMP;2.16468;
MatVecMasterSlaveRMA;1.5864;
MatVecMasterSlaveRMAOMP;1.74343;
MatVec;0.620588;
MatVecOMP;0.6063;
MatVecRMA;0.612046;
MatVecRMAOMP;0.614468;
MatVecMasteSlave;2.62893;
MatVecMasteSlaveOMP;2.57494;
MatVecMasterSlaveRMA;1.59348;
MatVecMasterSlaveRMAOMP;1.44851;
MatVec;0.615919;
MatVecOMP;0.606725;
MatVecRMA;0.608719;
MatVecRMAOMP;0.613017;
MatVecMasteSlave;2.16495;
MatVecMasteSlaveOMP;2.31157;
MatVecMasterSlaveRMA;1.53334;
MatVecMasterSlaveRMAOMP;1.79595;
MatVec;0.611269;
MatVecOMP;0.606342;
MatVecRMA;0.615537;
MatVecRMAOMP;0.616315;
MatVecMasteSlave;2.02806;
MatVecMasteSlaveOMP;2.32286;
MatVecMasterSlaveRMA;1.63168;
MatVecMasterSlaveRMAOMP;1.73166;
MatVec;0.621796;
MatVecOMP;0.610876;
MatVecRMA;0.615057;
MatVecRMAOMP;0.602903;
MatVecMasteSlave;2.41681;
MatVecMasteSlaveOMP;2.31411;
MatVecMasterSlaveRMA;1.68265;
MatVecMasterSlaveRMAOMP;1.81363;
MatVec;0.623551;
MatVecOMP;0.605854;
MatVecRMA;0.618608;
MatVecRMAOMP;0.60853;
MatVecMasteSlave;2.27637;
MatVecMasteSlaveOMP;2.026;
MatVecMasterSlaveRMA;1.86938;
MatVecMasterSlaveRMAOMP;1.78811;
